eQTL_eQTLGen	eQTLGen
eQTL_Fetal_Brain	eQTL_fetal_brain
eQTL_Microglia	eQTL_microglia
eQTL_Brain_Microglia	eQTL_brain_Microglia
eQTL_Brain_Pericytes	eQTL_brain_Pericytes
eQTL_Brain_Oligodendrocytes	eQTL_brain_Oligodendrocytes
eQTL_Brain_Endothelial.cells	eQTL_brain_Endothelial.cells
eQTL_Brain_Inhibitory.neurons	eQTL_brain_Inhibitory.neurons
eQTL_Brain_Excitatory.neurons	eQTL_brain_Excitatory.neurons
eQTL_Brain_OPCs...COPs	eQTL_brain_OPCs...COPs
eQTL_Brain_Astrocytes	eQTL_brain_Astrocytes
eQTL_OneK1K_bin	eQTL_onek1k_bin
eQTL_OneK1K_bmem	eQTL_onek1k_bmem
eQTL_OneK1K_cd4et	eQTL_onek1k_cd4et
eQTL_OneK1K_cd4nc	eQTL_onek1k_cd4nc
eQTL_OneK1K_cd4sox4	eQTL_onek1k_cd4sox4
eQTL_OneK1K_cd8et	eQTL_onek1k_cd8et
eQTL_OneK1K_cd8nc	eQTL_onek1k_cd8nc
eQTL_OneK1K_cd8s100b	eQTL_onek1k_cd8s100b
eQTL_OneK1K_dc	eQTL_onek1k_dc
eQTL_OneK1K_monoc	eQTL_onek1k_monoc
eQTL_OneK1K_mononc	eQTL_onek1k_mononc
eQTL_OneK1K_nk	eQTL_onek1k_nk
eQTL_OneK1K_nkr	eQTL_onek1k_nkr
eQTL_OneK1K_plasma	eQTL_onek1k_plasma
sQTL_Microglia	sQTL_microglia
